Scheme Code,Scheme Name
118577,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Instittutional - Direct - Growth
118581,Franklin India INDEX FUND NIFTY PLAN - Direct - Growth
118583,Reliance Quarterly Interval Fund - Series III - Direct Plan Growth Plan - Growth
118585,Reliance Arbitrage Fund - Direct Plan Growth Plan - Growth Option
118588,Reliance Banking Fund - Direct Plan Growth Plan - Bonus Option
118589,Reliance Banking Fund - Direct Plan Growth Plan - Growth Option
118595,Reliance Monthly Interval Fund - Series II - Direct Plan Growth Plan - Growth
118598,Reliance Monthly Interval Fund - Series I - Direct Plan Growth Plan - Growth
118601,Goldman Sachs India Equity Fund - Direct Plan -Growth Option
118604,Goldman Sachs Short Term Fund - Direct Plan - Growth Option
118606,Goldman Sachs CNX 500 Fund - Direct Plan - Growth Option
118610,Reliance Liquid Fund - Cash Plan - Direct Plan - Growth Plan - Growth Option
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option
118620,Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan-Growth Option
118623,Reliance Interval Fund - Quarterly Plan - Series I - Direct Plan Growth Plan - Growth
118624,Edelweiss Multi-Asset Allocation Fund-Direct Plan-Growth Option
118631,Edelweiss Gilt Fund -Direct Plan-Growth Option
118632,Reliance Large Cap Fund - Direct Plan Growth Plan - Growth Option
118633,Reliance Large Cap Fund - Direct Plan Growth Plan - Bonus Option
118636,Edelweiss Liquid Fund-Direct Plan-Growth Option
118638,Edelweiss Equity Savings Advantage Fund- Direct Plan- Growth Option
118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option
118644,Edelweiss Emerging Leaders Fund - Direct Plan- Growth
118646,Edelweiss Short Term Income Fund - Direct Plan- Growth Option
118648,Edelweiss Bond Fund  -Direct Plan- Growth Option
118650,Reliance Multi Cap Fund - Direct Plan Growth Plan - Growth Option
118651,Reliance Multi Cap Fund - Direct Plan Growth Plan - Bonus Option
118656,Reliance Floating Rate Fund - Short Term Plan - Direct Plan Growth Plan - Growth Option
118663,Reliance Gold Savings Fund - Direct Plan Growth Plan - Growth Option
118665,Reliance Growth Fund - Direct Plan Growth Plan - Bonus Option
118666,Reliance Growth Fund - Direct Plan Dividend Plan
118668,Reliance Growth Fund - Direct Plan Growth Plan - Growth Option
118672,Reliance Gilt Securities Fund - Direct Plan Growth Plan - Growth Option
118675,Reliance Vision Fund - Direct Plan Growth Plan - Bonus Option
118678,Reliance Vision Fund - Direct Plan Growth Plan - Growth Option
118679,Reliance Income Fund - Direct Plan Growth Plan-Bonus Option
118687,Reliance Income Fund - Direct Plan Growth Plan - Growth Option
118691,Reliance Quarterly Interval Fund - Series II - Direct Plan Growth Plan - Growth
118692,Reliance Focused Equity Fund - Direct Plan Growth Plan - Growth Option
118701,Reliance Liquid Fund - Treasury Plan - Direct Plan Growth Plan - Growth Option
118702,Reliance Money Manager Fund - Direct Plan Growth Plan - Bonus Option
118709,Reliance Money Manager Fund - Direct Plan Growth Plan - Growth Option
118715,Reliance Liquidity Fund - Direct Plan Growth Plan - Bonus Option
118719,Reliance Liquidity Fund - Direct Plan Growth Plan - Growth Option
118722,Reliance Consumption Fund - Direct Plan Growth Plan - Bonus
118724,Reliance Consumption Fund - Direct Plan Growth Plan - Growth Option
118726,Reliance Monthly Income Plan - Direct Plan Growth Plan - Growth Option
118736,Reliance Balanced Advantage Fund - Direct Plan Growth Plan - Growth Option
118737,Reliance Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option
118741,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Growth Option
118742,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Bonus Option
118747,Reliance Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option
118753,Reliance Natural Resources Fund - Direct Plan Growth Plan - Growth Option - Growth
118758,Reliance Pharma Fund - Direct Plan Growth Plan - Bonus Option
118759,Reliance Pharma Fund - Direct Plan Growth Plan - Growth Option
118762,Reliance Power & Infra Fund - Direct Plan Growth Plan - Bonus Option
118763,Reliance Power & Infra Fund - Direct Plan Growth Plan - Growth Option
118766,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Growth
118769,Reliance Quant Fund - Direct Plan Growth Plan - Growth Option
118770,Reliance Quant Fund - Direct Plan Growth Plan - Bonus Option
118773,Reliance Infrastructure Fund - Direct Plan Growth Plan - Growth
118774,Reliance Infrastructure Fund - Direct Plan Growth Plan - Bonus Option - Bonus
118777,Reliance Small Cap Fund - Direct Plan Growth Plan - Bonus Option
118778,Reliance Small Cap Fund - Direct Plan Growth Plan - Growth Option
118780,Reliance Regular Savings Fund - Debt Option - Direct Plan - Growth Plan
118784,Reliance Value Fund - Direct Plan Growth Plan
118785,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Bonus Option
118791,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Growth Option
118794,Reliance Equity Hybrid Fund  - Direct Plan Growth Plan
118796,Reliance Short Term Fund - Direct Plan Growth Plan - Growth Option
118803,Reliance Tax Saver Fund - Direct Plan Growth Plan - Growth Option
118804,Reliance Annual Interval Fund - Series I - Direct Plan Growth Plan - Growth
118807,Reliance Medium Term Fund - Direct Plan Growth Plan - Bonus
118814,Reliance Medium Term Fund - Direct Plan Growth Plan - Growth Option
118820,Indiabulls Gilt Fund - Indirect Plan - Growth Option
118825,Mirae Asset India Equity Fund - Direct Plan - Growth
118828,Mirae Asset Global Commodity Stocks - Direct Plan - Growth
118831,Mirae Asset China Advantage Fund - Direct Plan - Growth
118834,Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth
118840,Mirae Asset Savings Fund - Direct Plan - Growth
118847,Mirae Asset Short Term Bond Fund - Direct Plan - Growth
118857,Mirae Asset Liquid Fund - Direct Plan - Growth
118859,Mirae Asset Cash Management Fund - Direct Plan - Growth
118866,Taurus Tax Shield-Direct Plan-Growth Option
118868,Taurus Banking & Financial Services Fund-Direct Plan-Growth Option
118870,Taurus Bonanza Fund-Direct Plan-Growth Option
118872,Taurus Discovery Fund-Direct Plan-Growth Option
118874,Taurus Dynamic Income Fund-Direct Plan-Growth Option
118876,Taurus Ethical Fund-Direct Plan-Growth Option
118879,Taurus Infrastructure Fund-Direct Plan-Growth Option
118881,Taurus Nifty Index Fund-Direct Plan-Growth Option
118883,Taurus Starshare-Direct Plan-Growth Option
118885,Taurus MIP Advantage-Direct Plan-Growth Option
118887,Taurus Gilt Fund-Direct Plan-Growth Option
118889,Taurus Short Term Income Fund-Direct Plan-Growth Option
118893,Taurus Liquid Fund-Direct Plan-SI Growth Option
118894,Taurus Ultra Short Term Bond Fund-Direct Plan-SI Growth Option
118924,DSP BlackRock Bond Fund - Direct Plan - Growth
118927,HDFC Focused Large-Cap Fund -Direct Plan - Growth Option
118929,HDFC Long Term Advantage Fund -Direct Plan - Growth Option
118931,HDFC Arbitrage Fund -Direct Plan - Growth Option
118933,HDFC Balanced Fund -Direct Plan - Growth Option
118935,HDFC Capital Builder Fund -Direct Plan - Growth Option
118936,DWS Alpha Equity Fund - Direct Plan - Growth
118939,DWS Investment Opportunity Fund - Direct Plan - Growth
118942,HDFC CM Treasury Advantage Plan -Direct Plan - Retail Growth Option
118946,DWS Tax Saving Fund - Direct Plan - Growth
118950,HDFC Core & Satellite Fund -Direct Plan - Growth Option
118951,DWS Top Euroland Offshore Fund - Direct Plan - Growth
118955,HDFC Equity Fund -Direct Plan - Growth Option
118958,DWS Global Agribusiness Offshore Fund - Direct Plan - Growth
118961,HDFC Floating Rate Income Fund Short -Direct Plan - Wholesale Growth Option
118965,DWS Equity Income Fund - Direct Plan - Growth
118968,HDFC Growth Fund -Direct Plan - Growth Option
118969,HDFC Growth Fund -Direct Plan - Dividend Option
118972,DWS Income Advantage Fund - Direct Plan - Growth
118975,DWS Premier Bond Fund - Direct Plan - Growth
118979,HDFC Infrastructure Fund -Direct Plan - Growth Option
118982,DWS Short Maturity Fund - Direct Plan - Growth
118987,HDFC Medium Term Opportunities Fund -Direct Plan - Growth Option
118989,HDFC Mid Cap Opportunities Fund -Direct Plan - Growth Option
118991,HDFC Prudence Fund -Direct Plan - Growth Option
118994,DSP BlackRock Regular Savings Fund - Direct Plan - Growth
119000,DWS Insta Cash Plus Fund - Direct Plan - Growth
119009,DWS Treasury Fund - Cash Plan - Direct Plan - Growth
119016,HDFC Short Term Opportunities Fund -Direct Plan - Growth Option
119018,HDFC Top 200 Fund -Direct Plan - Growth Option
119019,DSP BlackRock Equity & Bond Fund - Direct Plan - Growth
119022,DWS Treasury Fund - Investment - Direct Plan - Growth
