Scheme Code,Scheme Name
119566,Sundaram Equity Multiplier - Direct Plan - Growth Option
119568,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan
119572,Sundaram Equity plus - Direct Plan - Growth Option
119576,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan
119578,Sundaram Select Focus - Direct Plan - Growth Option
119580,Birla Sun Life Commodities Equities Fund Global Multi Commodity Plan - Growth - Direct Plan
119581,Sundaram Select Mid Cap - Direct Plan - Growth Option
119584,Birla Sun Life Commodities Equities Fund Global Precious Metals Plan - Growth - Direct Plan
119586,Sundaram Select Thematic Funds PSU Opportunities -Direct Plan - Growth Option
119589,Sundaram S.M.I.L.E Fund - Direct Plan - Growth Option
119591,Aditya Birla Sun Life India Gennext Fund - Growth - Direct Plan
119592,Sundaram Growth Fund - Direct Plan - Growth Option
119593,Sundaram Growth Fund - Direct Plan - Dividend Option
119595,Sundaram Select Thematic Funds Rural India Fund - Direct Plan - Growth Option
119597,Sundaram Financial Services Opportunities Fund - Direct Plan - Growth Option
119598,SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH
119599,Sundaram Entertainment Opportunities Fund -Direct Plan - Growth Option
119602,Sundaram Global Advantage - Direct Plan - Growth Option
119603,Sundaram Gilt Fund - Direct Plan - Growth Option
119605,Aditya Birla Sun Life Gilt Plus - PF Plan - Growth - Direct Plan
119609,SBI Magnum Balanced Fund - DIRECT PLAN - Growth
119612,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Direct Plan
119614,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan
119618,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan
119621,Sundaram Flexible Fund - Flexible Income Plan - Direct Plan - Growth Option
119625,Sundaram BANKING AND PSU DEBT FUND- Direct Plan - Growth Option
119632,Sundaram Income Plus - Direct Plan - Growth Option
119635,Sundaram Monthly Income Plan - Aggressive Plan - Direct Plan - Growth Option
119644,Sundaram Regular Savings Fund - Direct Plan - Growth Option
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan
119648,Aditya Birla Sun Life Index Fund - Growth - Direct Plan
119654,Sundaram Monthly Income Plan - Moderate Plan - Direct Plan - Growth Option
119657,Aditya Birla Sun Life Income Plus - Growth - Direct Plan
119659,Aditya Birla Sun Life Pure Value Fund - Growth - Direct Plan
119661,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option
119664,Sundaram Select Debt Short Term Asset Plan - Direct Plan - Growth Option
119671,SBI Dynamic Bond Fund - DIRECT PLAN - Growth
119675,Sundaram Bond Saver - Direct Plan - Growth Option
119680,Sundaram Ultra Short - Term Fund - Direct Plan - Growth Option
119685,SBI Edge Fund - DIRECT PLAN - GROWTH
119686,Sundaram Money Fund - Direct Plan - Growth Option
119697,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan A - Direct Plan - Growth
119698,Sundaram Fixed Income Interval Fund- Quarterly Series-Plan B - Direct Plan - Growth
119700,SBI INFRASTRUCTURE FUND - SERIES I - DIRECT PLAN - GROWTH
119705,SBI Magnum COMMA Fund - DIRECT PLAN - Growth
119707,SBI MAGNUM GILT FUND - LONG TERM - DIRECT PLAN - GROWTH
119709,SBI Magnum Equity Fund - DIRECT PLAN -GROWTH
119711,SBI MAGNUM GLOBAL FUND - DIRECT PLAN -GROWTH
119714,SBI Magnum Income Fund-DIRECT PLAN -Growth
119716,SBI Magnum MIDCAP FUND - DIRECT PLAN - GROWTH
119718,SBI Magnum Multicap Fund - DIRECT PLAN - Growth Option
119719,SBI Magnum Children Benefit Plan - DIRECT PLAN - GROWTH
119721,SBI Magnum Multiplier Fund -DIRECT PLAN -Growth
119723,SBI MAGNUM TAXGAIN SCHEME 1993 - DIRECT PLAN -GROWTH
119727,SBI EMERGING BUSINESSES FUND - DIRECT PLAN -GROWTH
119732,SBI PSU Fund - DIRECT PLAN - GROWTH
119735,Kotak Bond - Growth - Direct
119739,Kotak Bond Short Term Plan-(Growth) - Direct
119741,Kotak Income Opportunities Fund - Growth - Direct
119746,Kotak Floater Short Term-(Growth) - Direct
119750,Kotak Treasury Advatage Fund-Growth - Direct
119755,Kotak Flexi Debt - Growth Direct
119757,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct
119759,Kotak Gilt-Investment Regular-Growth - Direct
119762,Kotak Gilt-Savings-Growth - Direct
119766,Kotak Liquid - Growth - Direct
119769,Kotak Classic Equity Scheme---Growth - Direct
119771,Kotak Equity Arbitrage Fund - Growth - Direct
119773,Kotak Tax Saver-Scheme-Growth - Direct
119775,Kotak Emerging Equity Scheme - Growth - Direct
119777,Kotak Asset Allocator Fund Direct Growth - Direct
119779,Kotak Global Emerging Market Fund - Growth - Direct
119781,Kotak Gold Fund Growth - Direct
119783,SBI PHARMA - DIRECT PLAN -GROWTH
119786,L&T Income Opportunities Fund- Direct Plan - Growth
119788,SBI GOLD FUND- DIRECT PLAN - GROWTH
119790,L&T Liquid Fund - Direct Plan -Growth
119795,L&T Banking and PSU Debt Fund - Direct Plan - Growth
119798,SBI CORPORATE BOND FUND - DIRECT PLAN -GROWTH
119800,SBI Premier Liquid Fund - DIRECT PLAN -Growth
119802,L&T Equity Savings Fund - Direct Plan-Growth
119807,L&T Mid Cap Fund-Direct Plan-Growth
119809,L&T Short Term Income Fund-Direct Plan-Growth
119812,SBI ULTRA SHORT TERM DEBT FUND - DIRECT PLAN - GROWTH
119816,SBI SHORT TERM DEBT FUND - DIRECT PLAN -GROWTH
119821,SBI  SAVINGS FUND - DIRECT PLAN - GROWTH
119824,SBI REGULAR SAVINGS FUNDS - DIRECT PLAN - GROWTH
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH
119828,SBI MAGNUM INSTA CASH FUND - DIRECT PLAN - GROWTH
119833,SBI MAGNUM INSTA CASH FUND - LIQUID FLOATER - DIRECT PLAN - GROWTH
119835,SBI CONTRA - DIRECT PLAN - GROWTH
119839,SBI MAGNUM MONTHLY INCOME PLAN - DIRECT PLAN - GROWTH
119843,SBI MAGNUM MONTHLY INCOME PLAN - FLOATER - DIRECT PLAN - GROWTH
119844,L&T Triple Ace Bond Fund - Direct Plan -Growth
119849,L&T Ultra Short Term Fund-Direct Plan - Growth
119852,L&T Monthly Income Plan -Direct Plan- Growth
119856,L&T Short Term Opportunities Fund -Direct Plan- Growth
119859,MOSt 10 Year Gilt Fund - Direct Plan - Growth
119861,Tata Money Market Fund- Direct Plan-Growth
119863,Tata Ultra Short Term Fund - Direct Plan - Growth
119867,JPMorgan India Equity Fund - Direct Plan - Growth Option
119869,JPMorgan India Mid and Small Cap Fund - Direct Plan - Growth Option
119871,JPMorgan India Tax Advantage Fund - Direct Plan - Growth Option
119872,JPMorgan Greater China Equity Off-shore Fund - Direct Plan - Growth Option
119874,JPMorgan EEMEA Equity Off-shore Fund - Direct Plan - Growth Option
119876,Tata Long Term Debt Fund - Direct Plan - Growth
119878,JPMorgan ASEAN Equity Off-shore Fund - Direct Plan - Growth Option
119883,JPMorgan India Active Bond Fund - Direct Plan - Growth Option
119884,Tata Fixed Income Portfolio Fund - Scheme A1 - Direct Plan - Growth
119886,ING Core Equity Fund - Direct Plan - Growth Option
119890,JPMorgan India Short Term Income Fund - Direct Plan -  Growth Option
119893,BNP Paribas Equity Fund - Direct Plan - Growth Option
119895,Tata Fixed Income Portfolio Fund - Scheme A2 - Direct Plan - Growth
119897,ING Dividend Yield Fund - Direct Plan - Growth Option
119899,Tata Fixed Income Portfolio Fund - Scheme A3 - Direct Plan - Growth
119905,JPMorgan India Liquid Fund - Direct Plan - Growth Option
119909,ING Midcap Fund - Direct Plan - Growth Option
119912,Tata Fixed Income Portfolio Fund - Scheme B2 - Direct Plan - Growth
119914,ING Large Cap Equity Fund - Direct Plan - Growth Option
119916,ING Tax Savings Fund - Direct Plan - Growth Option
119921,Tata Fixed Income Portfolio Fund - Scheme B3 - Direct Plan - Growth
119926,JPMorgan India Treasury Fund - Direct Plan - Growth Option
119930,Tata Fixed Income Portfolio Fund - Scheme C2 - Direct Plan - Growth
119935,ING Liquid Fund - Super Institutional Plan - Direct Plan - Growth Option
119936,Tata Fixed Income Portfolio Fund - Scheme C3 - Direct Plan - Growth
119939,ING Treasury Advantage Fund - Institutional Plan - Direct Plan - Growth Option
119944,Tata Gilt Mid Term Fund - Direct Plan - Growth
119947,DHFL Pramerica Credit Opportunities Fund - Direct Plan- Growth Option
119949,Tata Short Term Bond Fund - Direct Plan - Growth
119952,Tata Floating Rate Fund - Long Term Plan - Direct Plan- Growth
119953,Tata Gilt Securities Fund- Direct Plan - Growth
119955,Tata Gilt Short Maturity Fund - Direct Plan - Growth
119960,Tata Regular Savings Equity Fund- Direct Plan- Growth
119964,ING Income Fund - Regular Plan - Direct Plan - Growth Option
119966,ING Gilt Fund- Provident Fund -Dynamic Plan - Direct Plan - Growth Option
119970,ING Gilt Fund- Provident Fund -Dynamic Plan - Direct Plan - Growth Auto Income Payout Option
119974,ING MIP Fund - Direct Plan - Growth Option
119977,Tata MIP Plus Fund - Direct Plan - Growth
119979,ING Balanced Fund - Direct Plan - Growth Option
119981,ING Short Term Income Fund - Direct Plan - Growth Option
119984,BNP Paribas Corporate Bond Fund - Direct Plan - Growth Option
119988,BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option
119989,ING Asset Allocator Multi-Manager FoF Scheme - Direct Plan - Growth Option
119992,BNP Paribas Flexi Debt Fund - Direct Plan - Growth Option
119998,ING Active Debt Multi-Manager FoF Scheme - Direct Plan - Growth Option
120000,BNP Paribas Income And Gold Fund - Direct Plan - Growth Option
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option
120003,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan -  Direct Plan - Option A - Growth Option
120004,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan - Direct Plan - Option A- Dividend Option
120005,ING 5 Star Multi Manager FoF Scheme - Direct Plan - Growth Option
120008,BNP Paribas Money Plus Fund - Direct Plan - Growth Option
120013,ING Global Commodities Fund - Direct plan - Growth Option
120016,ING Multi Manager Equity Fund - Direct Plan - Option A -  Growth  Option
120017,ING Global Real Estate Fund - Retail Plan - Direct Plan - Growth Option
120019,ING Latin America Equity Fund - Direct Plan - Growth Option
120022,ING Financial Planning Fund - Conservative Plan - Direct Plan - Growth Option
120024,ING Financial Planning Fund - Prudent Plan - Direct Plan - Growth Option
120025,ING Financial Planning Fund - Aggressive Plan - Direct Plan - Growth Option
120027,ING Financial Planning Fund - Cautious Plan - Direct Plan - Growth Option
120030,HSBC Large Cap Equity Fund - Growth Direct
120031,ING Income Growth Multi Manager FoF Scheme - 30% Equity Plan - Direct Plan - Option A - Dividend Option
120032,ING Income Growth Multi Manager FoF Scheme - 30% Equity Plan -Direct Plan - Option A -  Growth Option
120034,HSBC Infrastructure Equity Fund - Growth Direct
120035,HSBC Brazil Fund - Growth Direct
120038,HSBC Cash Fund -  Growth Direct
120042,HSBC Dynamic Asset Allocation Fund-Growth Direct
120043,HSBC Global Emerging Market Fund - Growth Direct
120046,HSBC Multi Cap Equity Fund - Growth Direct
120048,HSBC Flexi Debt Fund - Growth Direct
120054,HSBC Floating Rate Fund - Long Term Plan - Growth Direct
120057,HSBC Gilt Fund - Growth Direct
120059,HSBC Debt Fund - Growth Direct
120062,HSBC Short Duration Fund - Growth Direct
120066,HSBC Low Duration Fund - Growth Direct
120069,HSBC Small Cap Equity Fund - Growth Direct
120072,HSBC MIP-Regular Plan-Growth Direct
120073,HSBC Regular Savings Plan-Growth Direct
120077,HSBC - Small Cap Fund - Growth Direct
120079,HSBC Tax Saver Equity Fund - Growth Direct
120081,HSBC Dividend Yield Equity Fund-Growth Direct
120082,BNP Paribas Monthly Income Plan - Direct Plan - Growth Option
120084,DHFL Pramerica Dynamic Bond Fund - Direct Plan-Growth Option
120088,DHFL Pramerica Dynamic Asset Allocation Fund - Direct Plan-Growth Option
120098,DHFL Pramerica Dynamic Monthly Income Fund - Direct Plan-Growth Option
120100,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Growth Option
120104,DHFL Pramerica Liquid Fund - Direct Plan-Growth Option
120108,DHFL PRAMERICA SHORT TERM FLOATING RATE FUND - DIRECT PLAN - GROWTH OPTION
120113,DHFL Pramerica Short Term Income Fund - Direct Plan-Growth Option
120119,DHFL Pramerica Treasury Advantage Fund - Direct Plan-Growth Option
120123,BNP Paribas Overnight Fund - Direct Plan - Growth Option
120129,DHFL Pramerica Ultra Short Term Bond Fund - Direct Plan-Growth Option
120131,BNP Paribas Short Term Income Fund - Direct Plan - Growth Option
120137,SBI MAGNUM GILT FUND - SHORT TERM - DIRECT PLAN - GROWTH
120147,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option
120152,Kotak 50 - Growth - Direct
120154,Kotak Monthly Income Plan - Growth - Direct
120158,Kotak Opportunities---Growth - Direct
120160,Kotak Multi Asset Allocation Fund-Growth - Direct
120164,Kotak-Mid-Cap-Growth - Direct
120166,Kotak Select Focus Fund - Growth - Direct
120168,Kotak Quarterly Interval Plan Series 1 - Growth - Direct
120170,Kotak Quarterly Interval Plan Series 2 - Growth - Direct
120172,Kotak Quarterly Interval Plan Series 3 - Growth - Direct
120174,Kotak Quarterly Interval Plan Series 4 - Growth - Direct
120176,Kotak Quarterly Interval Plan Series 5-Growth - Direct
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth
120197,ICICI Prudential Liquid - Direct Plan -  Growth
120211,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth
120225,Kotak Quarterly Interval Plan Series 6 - Growth - Direct
120228,Kotak Quarterly Interval Plan Series 7 - Growth - Direct
120230,Kotak Quarterly Interval Plan Series 8 - Growth - Direct
120233,Kotak Quarterly Interval Plan Series 9 - Growth - Direct
120238,Kotak Quarterly Interval Plan Series 10 - Growth - Direct
120242,ICICI Prudential Advisor Series Long Term Saving Plan - Direct Plan - Growth
120244,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth
120246,Sahara Income Fund-Growth-Direct
120249,LIC MF Liquid Fund-Direct Plan-Growth
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
120261,LIC MF Balanced Fund-Direct Plan-Growth
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option
120264,LIC MF Equity Fund-Direct Plan-Growth
120267,LIC MF Growth Fund-Direct Plan-Growth
120268,LIC MF Growth Fund-Direct Plan-Dividend
120270,LIC MF Tax Plan-Direct Plan-Growth
120276,LIC MF Monthly Income Plan-Direct Plan-Growth
120279,LIC MF Bond Fund-Direct Plan-Growth
120280,Sahara Liquid Fund-Variable Pricing -Direct - Growth option
120282,LIC MF Govt. Securities Fund-Direct Plan-Growth
120284,Sahara Gilt Fund-Growth - Direct
120285,LIC MF Children's Gift Fund-Direct Plan-Growth
120288,Sahara Growth Fund-Dividend- Direct
120289,Sahara Growth Fund-Growth- Direct
120291,SaharaTax Gain-Growth- direct
120294,Religare Invesco AGILE Fund - Direct Plan - Growth Option
120297,Sahara Midcap Fund-Growth Option - Direct
120299,UTI MMF - Instn Growth Plan -Direct
120300,ICICI Prudential Blended Plan B - Direct Plan -  Growth Option - I
120304,UTI-  Liquid Fund-Cash Plan-Inst Growth Direct
120306,LIC  MF Index Fund-Sensex Advantage-Direct Plan Growth Option
120307,LIC MF Index Fund-Nifty Plan-Direct Plan-Growth
120308,LIC MF Index Fund-Sensex Plan-Direct Plan-Growth
120310,ICICI Prudential Blended Plan A-Direct Plan -  Growth
120313,ICICI Prudential Cautious - Direct Plan -  Growth
120315,LIC MF Savings Plus Fund-Direct Plan-Growth
120320,LIC NOMURA MF Floating Rate Fund - Short Term Plan - Direct Plan Growth option
120323,ICICI Prudential Value Discovery Fund - Direct Plan - Growth
120324,LIC NOMURA MF Floater MIP - Direct Plan-Growth Option
120329,LIC NOMURA MF Opportunities Fund-Direct Plan Growth option
120331,LIC NOMURA MF INDIA VISION FUND - Direct Plan GROWTH OPTION
120333,Invesco India Dynamic Equity Fund - Direct Plan - Growth
120334,ICICI Prudential Dynamic - Direct Plan -  Growth
120338,LIC MF Income Plus Fund-Direct Plan-Growth
120340,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Growth
120343,LIC NOMURA MF SYSTEMATIC ASSET ALLOCATION FUND - Direct Plan GROWTH OPTION
120345,Sahara Wealth Plus Fund-Variable Pricing Option-Direct-Growth
120347,LIC NOMURA MF TOP 100 FUND - Direct Plan GROWTH OPTION
120348,Invesco India Contra Fund - Direct Plan - Growth
120351,LIC MF Infrastructure Fund-Direct Plan-Growth
120353,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth
120355,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth
120356,Invesco India Growth Opportunities Fund - Direct Plan - Dividend
120357,Invesco India Growth Opportunities Fund - Direct Plan - Growth
120361,Sahara R.E.A.L Fund - Growth  Fund- Direct
120364,ICICI Prudential Equity Arbitrage Fund - Direct Plan - Growth
120368,Sahara Classic Fund- Growth Option- Direct
120371,Sahara Power & Natural resources Fund- Growth - Direct
120373,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct
120377,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth
120379,SAHARA SHORT TERM BOND FUND-GROWTH- Direct
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth
120382,Sahara Super 20 Fund - Growth - Direct
120385,Invesco India Financial Services Fund - Direct Plan - Growth
120386,Sahara Star Value Fund-Growth - Direct
120389,Axis Liquid Fund - Direct Plan - Growth Option
120392,Invesco India Largecap Fund - Direct Plan - Growth
120395,Invesco India PSU Equity Fund - Direct Plan - Growth
120398,ICICI Prudential Flexible Income - Direct Plan -  Growth
120401,Invesco India Arbitrage Fund - Direct Plan - Growth Option
120403,Invesco India Midcap Fund - Direct Plan - Growth Option
120405,Invesco India Infrastructure Fund - Direct Pan - Growth Option
120406,JM High Liquidity Fund (Direct) - Growth Option
120413,Invesco India Multicap Fund - Direct Plan - Growth Option
120415,JM Floater Short Term Fund (Direct) - Growth Option
120416,Invesco India Tax Plan - Direct Plan - Growth
120421,JM G-Sec Fund - (Direct) - Growth Option
120425,ICICI Prudential Savings Fund - Direct Plan - Growth
120430,JM Income Fund (Direct) - Growth Option
120435,JM Floater Long Term Fund - (Direct) - Growth Option
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
120444,Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option
120446,JM MIP Fund (Direct) - Growth Option
120447,Axis Constatnt Maturity 10 Year Fund - Direct Plan - Growth Option
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option
120458,JM Money Manager Fund - Regular Plan (Direct) - Growth Option
120461,JM Money Manager Fund - Super Plus Plan (Direct) - Growth Option
120463,JM Money Manager Fund - Super Plan (Direct) - Growth Option
120465,Axis Equity Fund - Direct Plan - Growth
120468,Axis Focused 25 Fund - Direct Plan - Growth Option
120471,JM Short Term Fund (Direct) - Growth Option
120473,Axis Gold Fund - Direct Plan - Growth option
120475,Axis Regular Savings Fund - Direct Plan - Growth Option
120480,Axis Income Saver - Direct Plan - Growth Option
120482,JM Arbitrage Advantage Fund (Direct) - Growth Option
120484,JM Balanced Fund (Direct) - Growth Option
120486,JM Basic Fund (Direct) - Growth Option
120488,JM Core 11 Fund (Direct)  - Growth Option
120490,JM Equity Fund (Direct) - Growth Option
120492,JM Multi Strategy Fund (Direct) - Growth Option
120494,JM Tax Gain Fund (Direct) - Growth Option
120497,Invesco India Corporate Bond Fund - Direct Plan - Growth
120503,Axis Long Term Equity Fund - Direct Plan - Growth Option
120505,Axis Midcap Fund - Direct Plan - Growth
120507,Invesco India Money Market Fund - Direct Plan - Growth
120510,Axis Short Term Fund - Direct Plan - Growth Option
120513,Axis Treasury Advantage Fund - Direct Plan - Growth Option
120517,Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Growth
120520,Invesco India Gilt Fund - Direct  Plan - Growth
120524,Axis Triple Advantage Fund - Direct Plan - Growth Option
120525,Religare Invesco GILT Fund - Short Duration Plan - Direct Plan - Growth
120529,Aditya Birla Sun Life Buy India Fund - Growth - Direct Plan
120531,Invesco India Gold Fund - Direct Plan- - Growth
120533,Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan
120537,Invesco India Liquid Fund - Direct Plan - Growth
120539,Aditya Birla Sun Life New Millennium Fund - Growth - Direct Plan
120541,Invesco India Ultra Short Term Fund - Direct Plan - Growth
120546,Aditya Birla Sun Life Gold Fund - Growth - Direct Plan
120548,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment - Direct Plan
120552,Religare Invesco Monthly Income Plan - Direct Plan - Growth Option
120554,Invesco India Regular Savings Fund - Direct Plan  - Growth
120557,Religare Invesco Overnight Fund - Direct Plan - Growth
120560,Invesco India Short Term Fund - Direct Plan - Growth
120564,Aditya Birla Sun Life Equity Fund - Growth - Direct Plan
120570,Invesco India Treasury Advantage Fund - Direct Plan - Growth
120572,Aditya Birla Sun Life Monthly Income - Growth - Direct Plan
120575,SBI FMCG FUND - DIRECT PLAN - GROWTH
120578,SBI IT FUND - DIRECT PLAN - GROWTH
120582,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Growth
120586,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth
120590,ICICI Prudential Long Term Gilt Fund - Direct Plan - Growth
120591,ICICI Prudential Indo Asia Equity Fund - Direct Plan -  Growth
120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth
120594,ICICI Prudential Technology Fund - Direct Plan -  Growth
120596,ICICI Prudential Top 100 Fund - Direct Plan -  Growth
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth
120603,ICICI Prudential Long Term - Direct Plan -  Growth
120605,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan -Growth Option
120608,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth
120611,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan -Growth Option
120616,ICICI Prudential MIP - 25 - Direct Plan -  Growth
120619,ICICI Prudential Income Opportunities Fund - Direct Plan -  Growth
120621,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth
120623,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Growth
120625,ICICI Prudential Interval Fund Annual Interval Plan I - Direct Plan -  Growth
120627,ICICI Prudential Interval Fund Annual Interval Plan II - Direct Plan -  Growth
120629,ICICI Prudential Interval Fund Annual Interval Plan III - Direct Plan -  Growth
120631,ICICI Prudential Interval Fund Annual Interval Plan IV - Direct Plan -  Growth
120633,ICICI Prudential Interval Fund Half Yearly Interval Plan II - Direct Plan -  Growth
120636,ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Growth
120638,ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Direct Plan -  Growth
120639,ICICI Prudential Interval Fund II Quarterly Interval - Direct Plan -  Growth
120642,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Growth
120643,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Growth
120646,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Growth
120649,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan - Growth
120652,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Growth
120655,ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Growth
120656,UTI - Master Share-Growth Option - Direct
120658,UTI - Master Plus Unit Scheme-Growth Option - Direct
120661,ICICI Prudential Interval Fund V Monthly Interval Plan A - Direct Plan - Growth
120662,UTI - Equity Fund-Growth Option - Direct
120665,UTI - TOP 100 Fund- Growth Option - Direct
120668,ICICI Prudential MIP - Direct Plan -  Growth
120670,ICICI Prudential Corporate Bond Fund - Direct Plan -  Growth
120674,UTI - Balanced Fund-Growth - Direct
120676,ICICI Prudential Regular Income Fund - Direct Plan -  Growth
120679,ICICI Prudential Moderate - Direct Plan -  Growth
120682,UTI - MNC Fund (UGS 10000)-Growth Option - Direct
120684,ICICI Prudential Nifty Next 50 Index Fund - Direct Plan -  Growth
120685,ICICI Prudential Regular Gold Savings Fund - Direct Plan -  Growth
120688,ICICI Prudential Exports and Other Services Fund - Direct Plan - Growth
120689,UTI Bond Fund-Growth - Direct
120692,ICICI Prudential Ultra Short Term - Direct Plan -  Growth
120699,UTI - Master Value Fund-Growth Option-Direct
120700,ICICI Prudential Very Aggressive - Direct Plan -  Growth
120702,ICICI Prudential Dynamic Accrual Plan - Direct Plan -  Growth
120704,Aditya Birla Sun Life MIP - Direct Plan - Growth
120705,Aditya Birla Sun Life MIP II - Wealth 25 Plan - Growth / Payment - Direct Plan
120706,Aditya Birla Sun Life MIP II - Savings 5 Plan - Growth / Payment - Direct Plan
120711,ICICI Prudential Regular Savings Fund - Direct Plan -  Growth
120715,UTI - Long Term Equity Fund (Tax Saving) - Direct Plan - Growth Option
120716,UTI - NIFTY Index Fund-Growth Option- Direct
120718,UTI - Short Term Income Fund -Institutional Growth Option- Direct
120722,ICICI Prudential Select Large Cap Fund - Direct Plan -  Growth
120724,UTI CCP Advantage Fund - Growth- Direct
120726,UTI Mid Cap Fund-Growth Option- Direct
120728,UTI Infrastructure Fund-Growth Option- Direct
120731,UTI-Transpotation and Logistics  Fund-Growth Option- Direct
120733,UTI Banking Sector Fund-Growth Option- Direct
120735,UTI - Treasury Advantage Fund - Institutional-Growth- Direct
120743,ICICI Prudential Income - Direct Plan - Growth
120746,UTI - FLOATING RATE STP-GROWTH-direct
120749,UTI-Dividend Yield Fund.-Growth-Direct
120751,UTI Opportunities Fund-Growth Option-Direct
120754,ICICI Prudential Short Term - Direct Plan - Growth Option
120757,UTI Bluechip Flexicap Fund - Direct Plan - Growth Option
120759,UTI Contra Fund-Growth-Growth Option-Direct
120760,UTI - Wealth Builder Fund - Growth Option-Direct
120762,UTI Dynamic Bond Fund - Direct Plan - Growth Option
120764,UTI Income Opportunities Fund  - Growth Option-Direct
120767,UTI Services Industries Fund-Growth Option- Direct
120770,UTI Energy Fund-Growth Option-Direct
120773,UTI Smart Woman Savings Plan - Growth Option- Direct
120776,UTI - MIS-Growth-Direct
120779,UTI - MIS-ADVANTAGE-GROWTH-Direct
120782,UTI Pharma & Healthcare Fund-Growth Option- Direct
120785,UTI - G-Sec Fund-STP Growth- Direct
120788,UTI - CRTS 81 - Growth Option- Direct
120792,UTI - GILT ADVANTAGE-LONG TERM-GROWTH- Direct
120795,UTI Spread Fund - Growth Option- Direct
120799,Reliance Yearly Interval Fund - Series 1 - Direct Plan - Growth Plan - Growth Option
120819,Escorts Balanced Fund-Growth Option-Direct Plan
120821,Escorts Gilt Plan-GROWTH OPTION-Direct Plan
120822,Escorts Growth Plan-DIVIDEND OPTION-Direct Plan
120823,Escorts Growth Plan-GROWTH OPTION-Direct Plan
120826,Escorts High Yield Equity Plan - Growth Option-Direct Plan
120828,Escorts Income Bond-Growth Option-Direct Plan
120830,Escorts Income Plan-Growth Option-Direct Plan
120833,Escorts Infrastructure Fund - Growth Option-Direct Plan
120834,Escorts Leading Sectors Fund - Growth Option-Direct Plan
120837,Escorts Liquid Plan-Growth Option-Direct Plan
120841,Escorts Opportunities Fund-Growth Option-Direct Plan
120843,Escorts Power & Energy Fund - Growth Option-Direct Plan
120845,Escorts Short Term Debt Fund-Growth Option-Direct Plan
